id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant 
403	1557	1608	3642	3112		609;610		665;667	Q2QGD7	Q2QGD7	1	1	1	Zinc finger protein ZXDC;ZXD-like zinc finger protein	ZXDC;ZXDL	>Q2QGD7|ZXDC_HUMAN Zinc finger protein ZXDC |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.9	0.9	0.9	89.987	858		1	0.094347	0	0.9	0	0	0	0	0	0	0	0	0	0	+		
404	509	529	1168;1169	968		611		328	Q3B726	Q3B726	1	1	1	DNA-directed RNA polymerase I subunit RPA43;Twist neighbor protein	TWISTNB	>Q3B726|RPA43_HUMAN DNA-directed RNA polymerase I subunit RPA43 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.7	4.7	4.7	37.432	338	1	1	0.050865	4.7	4.7	0	0	0	0	0	0	0	0	0	0	+		
405	647;659;777;1043;1113	676;688;809;1086;1159	1525;1526;1557;1558;1559;1560;1825;1826;2465;2466;2619	1311;1312;1346;1347;1564;2110;2111;2225		612;613;614;615;616;617;1445		113;271;273;274;276;399;460	Q3KQU3	Q3KQU3	5	5	5	Arginine/proline-rich coiled-coil domain-containing protein 1;MAP7 domain-containing protein 1;Proline/arginine-rich coiled-coil domain-containing protein 1	KIAA1187;MAP7D1;PARCC1;PP2464;RPRC1	>Q3KQU3|MA7D1_HUMAN MAP7 domain-containing protein 1 |Homo sapiens	1	5	5	5	4	5	4	5	4	5	7.4	7.4	7.4	92.819	841	5	6	3.0018E-43	4.6	7.4	0	0	0	0	0	0	0	0	0	0			
406	794	827	1879;1880	1616;1617		618;619;620		298;299;300	Q4G0J3	Q4G0J3	1	1	1	La ribonucleoprotein domain family member 7;La-related protein 7;P-TEFb-interaction protein for 7SK stability	HDCMA18P;LARP7	>Q4G0J3|LARP7_HUMAN La-related protein 7 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.4	2.4	2.4	66.898	582	1	1	4.6741E-21	2.4	2.4	0	0	0	0	0	0	0	0	0	0			
407	982	1025	2324;2325	1989		621		687	Q4KMP7	Q4KMP7	1	1	1	TBC1 domain family member 10B	FP2461;TBC1D10B	>Q4KMP7|TB10B_HUMAN TBC1 domain family member 10B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.3	4.3	4.3	87.198	808	1	1	0.096763	4.3	4.3	0	0	0	0	0	0	0	0	0	0	+		
408	592;641	615;670	1394;1395;1510;1511	1178;1179;1300		622;623		1019;1029	Q52LW3	Q52LW3	2	2	2	PTPL1-associated RhoGAP protein 1;Rho GTPase-activating protein 29;Rho-type GTPase-activating protein 29	ARHGAP29;PARG1	>Q52LW3|RHG29_HUMAN Rho GTPase-activating protein 29 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	1.6	1.6	1.6	142.06	1261	1	3	0.0018322	0.8	1.6	0	0	0	0	0	0	0	0	0	0			
409	1204;1205	1250;1251	2828;2829;2830;2831	2426;2427		624		94	Q53EL6	Q53EL6	2	2	2	Neoplastic transformation inhibitor protein;Nuclear antigen H731-like;Programmed cell death protein 4;Protein 197/15a	H731;PDCD4	>Q53EL6|PDCD4_HUMAN Programmed cell death protein 4 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2.6	2.6	2.6	51.735	469	2	2	0.00078778	2.6	2.6	0	0	0	0	0	0	0	0	0	0			
410	145;616	152;642	349;350;1453;1454	291;1239		625;626		208;253	Q53EP0	Q53EP0	2	2	2	Factor for adipocyte differentiation 104;Fibronectin type III domain-containing protein 3B;HCV NS5A-binding protein 37	FAD104;FNDC3B;NS5ABP37;UNQ2421/PRO4979/PRO34274	>Q53EP0|FND3B_HUMAN Fibronectin type III domain-containing protein 3B |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2.5	2.5	2.5	132.89	1204	2	2	7.2609E-16	2.5	2.5	0	0	0	0	0	0	0	0	0	0			
411	842;1064	880;1107	1997;1998;2512;2513	1710;2140;2141		627;1446		413;500	Q53F19	Q53F19	2	2	2	Protein ELG;Uncharacterized protein C17orf85	C17orf85	>Q53F19|CQ085_HUMAN Uncharacterized protein C17orf85 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	3.9	3.9	3.9	70.592	620	2	2	1.4354E-06	3.9	3.9	0	0	0	0	0	0	0	0	0	0			
412	233	243	573	493		628;629		212;213	Q53LP3	Q53LP3	1	1	1	Ankyrin repeat domain-containing protein 57	ANKRD57;C2orf26	>Q53LP3|ANR57_HUMAN Ankyrin repeat domain-containing protein 57 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.3	2.3	2.3	55.671	525		1	0.10178	0	2.3	0	0	0	0	0	0	0	0	0	0	+		
413	501;585;1545	521;606;1594	1151;1365;1366;3614;3615	951;1144;3090					Q562R1	Q562R1	3	1	1	Beta-actin-like protein 2;Kappa-actin	ACTBL2	>Q562R1|ACTBL_HUMAN Beta-actin-like protein 2 |Homo sapiens	1	3	1	1	2	3	1	1	1	1	9.8	4.8	4.8	42.003	376	1	1	1.5064E-12	6.9	9.8	1716500	239100	1477400	71521	9962.7	61558	0	1477400	0	1			
414	655	684	1546;1547	1328		630		270	Q5BKZ1	Q5BKZ1	1	1	1	Zinc finger protein 326	ZNF326	>Q5BKZ1|ZN326_HUMAN Zinc finger protein 326 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	65.653	582	1	1	0.056611	1.5	1.5	0	0	0	0	0	0	0	0	0	0	+		
415	1287	1334	3030;3031	2610		1447		349	Q5JSH3	Q5JSH3	1	1	1	Rabphilin-11;WD repeat-containing protein 44	WDR44	>Q5JSH3|WDR44_HUMAN WD repeat-containing protein 44 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	101.37	913	1	1	0.072728	2.1	2.1	0	0	0	0	0	0	0	0	0	0	+		
416	495	515	1136;1137;1138;1139	943;944		631		226	Q5JSZ5	Q5JSZ5	1	1	1	HLA-B-associated transcript 2-like 1;Protein BAT2-like 1	BAT2L;BAT2L1;KIAA0515	>Q5JSZ5|PRC2B_HUMAN Protein PRRC2B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.8	242.96	2229	2	2	0.0022591	0.8	0.8	0	0	0	0	0	0	0	0	0	0			
417	48;714	49;746	109;110;1685;1686	85;86;1450;1451		632;1448		422;545	Q5JTD0	Q5JTD0	2	2	2	Protein incorporated later into tight junctions;Tight junction protein 4;Tight junction-associated protein 1	PILT;TJAP1;TJP4	>Q5JTD0|TJAP1_HUMAN Tight junction-associated protein 1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	5.4	5.4	5.4	61.82	557	2	2	7.9918E-09	5.4	5.4	0	0	0	0	0	0	0	0	0	0			
418	1317;1587	1364;1640	3101;3708;3709	2665;3165		1449		220	Q5JTV8	Q5JTV8	2	2	2	Torsin-1A-interacting protein 1	TOR1AIP1	>Q5JTV8|TOIP1_HUMAN Torsin-1A-interacting protein 1 |Homo sapiens	1	2	2	2	2	1	2	1	2	1	6.5	6.5	6.5	66.248	583	2	1	0.00071764	6.5	4.3	0	0	0	0	0	0	0	0	0	0			
419	1490	1539	3482;3483	2986;2987		633		847	Q5M775	Q5M775	1	1	1	Cytospin-B;Nuclear structure protein 5;Sperm antigen HCMOGT-1;Sperm antigen with calponin homology and coiled-coil domains 1	CYTSB;NSP5;SPECC1	>Q5M775|CYTSB_HUMAN Cytospin-B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	118.58	1068	1	1	0.032214	1.1	1.1	0	0	0	0	0	0	0	0	0	0			
420	1537	1586	3593;3594;3595;3596	3069;3070		1450		51	Q5SSJ5	Q5SSJ5	1	1	1	Heterochromatin protein 1-binding protein 3;Protein HP1-BP74	HP1BP3	>Q5SSJ5|HP1B3_HUMAN Heterochromatin protein 1-binding protein 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.4	2.4	2.4	61.206	553	2	2	0.0063626	2.4	2.4	0	0	0	0	0	0	0	0	0	0			
421	209;576	218;597	522;523;1342	452;1123		634;635		971;1165	Q5SW79	Q5SW79	2	2	2	Centrosomal protein of 170 kDa;KARP-1-binding protein	CEP170;FAM68A;KAB;KIAA0470	>Q5SW79|CE170_HUMAN Centrosomal protein of 170 kDa |Homo sapiens	1	2	2	2	1	2	1	2	1	2	1.8	1.8	1.8	175.29	1584	1	2	1.7848E-07	0.8	1.8	0	0	0	0	0	0	0	0	0	0			
422	512	532	1174;1175	971		636		501	Q5T0N5	Q5T0N5	1	1	1	Formin-binding protein 1-like;Transducer of Cdc42-dependent actin assembly protein 1	C1orf39;FNBP1L;TOCA1	>Q5T0N5|FBP1L_HUMAN Formin-binding protein 1-like |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.8	4.8	4.8	69.977	605	1	1	0.0079932	4.8	4.8	0	0	0	0	0	0	0	0	0	0			
423	338;1015;1185	355;1058;1231	795;796;2400;2401;2773;2774	680;2054;2356		637;638;639		388;466;764	Q5T0W9	Q5T0W9	3	3	3	Protein FAM83B	C6orf143;FAM83B	>Q5T0W9|FA83B_HUMAN Protein FAM83B |Homo sapiens	1	3	3	3	3	3	3	3	3	3	4	4	4	114.8	1011	3	3	1.4335E-05	4	4	0	0	0	0	0	0	0	0	0	0			
424	1077	1121	2543;2544	2166		640		962	Q5T1M5	Q5T1M5	1	1	1	133 kDa FK506-binding protein;FK506-binding protein 15;WASP and FKBP-like	FKBP15;KIAA0674	>Q5T1M5|FKB15_HUMAN FK506-binding protein 15 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.7	1.7	1.7	133.63	1219	1	1	0.0057726	1.7	1.7	0	0	0	0	0	0	0	0	0	0			
425	342;438;643;726;910;1249;1294;1468;1514	359;456;672;758;951;1296;1341;1517;1563	803;804;1015;1016;1514;1515;1516;1715;1716;2136;2931;2932;2933;3048;3049;3435;3436;3538;3539	684;859;1304;1305;1473;1806;2510;2511;2622;2949;3028		641;642;643;644;645;646;1451;1452		77;110;198;242;364;877;1033;1208	Q5T200	Q5T200	9	9	9	Zinc finger CCCH domain-containing protein 13	KIAA0853;ZC3H13	>Q5T200|ZC3HD_HUMAN Zinc finger CCCH domain-containing protein 13 |Homo sapiens	1	9	9	9	8	9	8	9	8	9	5.6	5.6	5.6	196.63	1668	9	10	1.8577E-49	4.9	5.6	0	0	0	0	0	0	0	0	0	0			
426	520	540	1202;1203	1005		647		2719	Q5T4S7	Q5T4S7	1	1	1	600 kDa retinoblastoma protein-associated factor;E3 ubiquitin-protein ligase UBR4;N-recognin-4;Retinoblastoma-associated factor of 600 kDa;Zinc finger UBR1-type protein 1	KIAA0462;KIAA1307;RBAF600;UBR4;ZUBR1	>Q5T4S7|UBR4_HUMAN E3 ubiquitin-protein ligase UBR4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.2	0.2	0.2	573.83	5183	1	1	0.047455	0.2	0.2	0	0	0	0	0	0	0	0	0	0	+		
427	670;1038	700;1081	1587;1588;2456;2457	1366;1367;2102		648;649;1453		361;1461;1462	Q5T5P2	Q5T5P2	2	2	2	Sickle tail protein homolog	KIAA1217;SKT	>Q5T5P2|SKT_HUMAN Sickle tail protein homolog |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.8	1.8	1.8	214.11	1943	2	2	5.447E-07	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
428	1347	1394	3171	2723		650		923	Q5T5U3	Q5T5U3	1	1	1	Rho GTPase-activating protein 10;Rho GTPase-activating protein 21;Rho-type GTPase-activating protein 21	ARHGAP10;ARHGAP21;KIAA1424	>Q5T5U3|RHG21_HUMAN Rho GTPase-activating protein 21 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.1	1.1	1.1	217.33	1957		1	0.036548	0	1.1	0	0	0	0	0	0	0	0	0	0			
429	823	856	1945	1667	38		1		Q5T619	Q5T619	1	1	1	Zinc finger protein 648	ZNF648	>Q5T619|ZN648_HUMAN Zinc finger protein 648 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.6	1.6	1.6	62.34	568		1	0.085943	0	1.6	262310	0	262310	6397.8	0	6397.8	0	262310	0	1	+		
430	612;1479	637;1528	1440;1441;1442;3459;3460	1230;1231;2967		651;652		127;518	Q5T8P6	Q5T8P6	2	2	2	CTCL tumor antigen se70-2;RNA-binding motif protein 26;RNA-binding protein 26	C13orf10;PRO1777;RBM26	>Q5T8P6|RBM26_HUMAN RNA-binding protein 26 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2	2	2	113.6	1007	2	3	0.00036997	2	2	0	0	0	0	0	0	0	0	0	0			
431	136	143	334;335	280		653		421	Q5TCZ1	Q5TCZ1	1	1	1	Adaptor protein TKS5;Five SH3 domain-containing protein;SH3 and PX domain-containing protein 2A;SH3 multiple domains protein 1	FISH;KIAA0418;SH3MD1;SH3PXD2A	>Q5TCZ1|SPD2A_HUMAN SH3 and PX domain-containing protein 2A |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.8	125.29	1133	1	1	0.047455	0.8	0.8	0	0	0	0	0	0	0	0	0	0	+		
432	1510	1559	3529	3023	39	654;655;656	184	175;179;180	Q5U649	Q5U649	1	1	1	Uncharacterized protein C12orf60	C12orf60	>Q5U649|CL060_HUMAN Uncharacterized protein C12orf60 |Homo sapiens	1	1	1	1	1	0	1	0	1	0	6.9	6.9	6.9	27.626	245	1		0.096774	6.9	0	0	0	0	0	0	0	0	0	0	0	+		
433	441	459	1021;1022	862		1454		723	Q5VT52	Q5VT52	1	1	1	Regulation of nuclear pre-mRNA domain-containing protein 2	HSPC099;KIAA0460;RPRD2	>Q5VT52|RPRD2_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	156.02	1461	1	1	0.0015054	1.3	1.3	0	0	0	0	0	0	0	0	0	0			
434	1305	1352	3068;3069	2641		657		529	Q5VTL8	Q5VTL8	1	1	1	Pre-mRNA-splicing factor 38B;Sarcoma antigen NY-SAR-27	PRPF38B	>Q5VTL8|PR38B_HUMAN Pre-mRNA-splicing factor 38B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	64.467	546	1	1	0.073312	2	2	0	0	0	0	0	0	0	0	0	0	+		
435	102	106	238;239	185		658		138	Q5VTR2	Q5VTR2	1	1	1	E3 ubiquitin-protein ligase BRE1A;RING finger protein 20	BRE1A;RNF20	>Q5VTR2|BRE1A_HUMAN E3 ubiquitin-protein ligase BRE1A |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.7	1.7	1.7	113.66	975	1	1	0.062172	1.7	1.7	0	0	0	0	0	0	0	0	0	0	+		
436	628;1407;1472;1614	655;1455;1521;1669	1480;1481;3303;3304;3444;3445;3770;3771	1270;1271;2822;2955;2956;3228		659;660;661		1037;2035;2101	Q5VUA4	Q5VUA4	4	4	4	Endocrine regulatory protein;Zinc finger protein 318	HRIHFB2436;ZNF318	>Q5VUA4|ZN318_HUMAN Zinc finger protein 318 |Homo sapiens	1	4	4	4	4	4	4	4	4	4	1.8	1.8	1.8	251.11	2279	4	4	8.2093E-26	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
437	1066	1109	2517;2518	2146		662		183	Q5VWG9	Q5VWG9	1	1	1	140 kDa TATA box-binding protein-associated factor;TBP-associated factor 3;Transcription initiation factor TFIID 140 kDa subunit;Transcription initiation factor TFIID subunit 3	TAF3	>Q5VWG9|TAF3_HUMAN Transcription initiation factor TFIID subunit 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.6	1.6	1.6	103.58	929	1	1	0.055992	1.6	1.6	0	0	0	0	0	0	0	0	0	0	+		
438	765;1133;1620	797;1179;1675	1801;1802;2659;2660;3780;3781	1540;2256;3234;3235		663;664;1455		118;122;1181	Q5VZL5	Q5VZL5	3	3	3	Zinc finger MYM-type protein 4;Zinc finger protein 262	KIAA0425;ZMYM4;ZNF262	>Q5VZL5|ZMYM4_HUMAN Zinc finger MYM-type protein 4 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	1.8	1.8	1.8	172.79	1548	3	3	2.1371E-17	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
439	23	24	55	45		665		971	Q5XXA6	Q5XXA6	1	1	1	Anoctamin-1;Discovered on gastrointestinal stromal tumors protein 1;Oral cancer overexpressed protein 2;Transmembrane protein 16A;Tumor-amplified and overexpressed sequence 2	ANO1;DOG1;ORAOV2;TAOS2;TMEM16A	>Q5XXA6|ANO1_HUMAN Anoctamin-1 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2	2	2	114.08	986		1	0.041651	0	2	0	0	0	0	0	0	0	0	0	0			
440	1139	1185	2673;2674	2272		666		271	Q66PJ3	Q66PJ3	1	1	1	ADP-ribosylation factor-like protein 6-interacting protein 4;HSP-975;HSVI-binding protein;SR-15;SRp25	ARL6IP4	>Q66PJ3|AR6P4_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	38.395	360	1	1	0.0091078	4.4	4.4	0	0	0	0	0	0	0	0	0	0			
441	677	708	1607;1608	1387		1456		402	Q68DK7	Q68DK7	1	1	1	Male-specific lethal 1 homolog;Male-specific lethal 1-like 1;Male-specific lethal-1 homolog 1	MSL1;MSL1L1	>Q68DK7|MSL1_HUMAN Male-specific lethal 1 homolog |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	67.128	614	1	1	0.049487	2.1	2.1	0	0	0	0	0	0	0	0	0	0	+		
442	740;1116;1323	772;1162;1370	1751;1752;2624;2625;3113;3114	1505;2229;2675		667;668;669		384;385;832	Q69YQ0	Q69YQ0	3	3	3	Cytospin-A;Renal carcinoma antigen NY-REN-22;SPECC1-like protein	CYTSA;KIAA0376;SPECC1L	>Q69YQ0|CYTSA_HUMAN Cytospin-A |Homo sapiens	1	3	3	3	3	3	3	3	3	3	3	3	3	124.6	1117	3	3	7.1473E-09	3	3	0	0	0	0	0	0	0	0	0	0			
443	535	555	1232;1233	1026		670		97	Q6IAA8	Q6IAA8	1	1	1	p27Kip1-releasing factor from RhoA;RhoA activator C11orf59	C11orf59;PP7157	>Q6IAA8|LTOR1_HUMAN Ragulator complex protein LAMTOR1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7.5	7.5	7.5	17.745	161	1	1	9.2292E-08	7.5	7.5	0	0	0	0	0	0	0	0	0	0			
444	1477	1526	3455;3456	2963		671		741	Q6IN85	Q6IN85	1	1	1	Serine/threonine-protein phosphatase 4 regulatory subunit 3A;SMEK homolog 1	KIAA2010;MSTP033;PP4R3A;PPP4R3A;SMEK1	>Q6IN85|P4R3A_HUMAN Serine/threonine-protein phosphatase 4 regulatory subunit 3A |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.4	1.4	1.4	95.367	833	1	1	0.05384	1.4	1.4	0	0	0	0	0	0	0	0	0	0	+		
445	697	728	1651	1420	40	672;673	1071	1063;1072	Q6IQ23	Q6IQ23	1	1	1	Pleckstrin homology domain-containing family A member 7	PLEKHA7	>Q6IQ23|PKHA7_HUMAN Pleckstrin homology domain-containing family A member 7 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.7	1.7	1.7	127.13	1121		1	0.094064	0	1.7	0	0	0	0	0	0	0	0	0	0	+		
446	1631	1686	3800	3247		674		278	Q6IQ49	Q6IQ49	1	1	1	UPF0667 protein C1orf55	C1orf55	>Q6IQ49|CA055_HUMAN UPF0667 protein C1orf55 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	4.7	4.7	4.7	49.741	451		1	2.8164E-14	0	4.7	0	0	0	0	0	0	0	0	0	0			
447	98	102	228;229	173		675		2658	Q6KC79	Q6KC79	1	1	1	Delangin;Nipped-B-like protein;SCC2 homolog	IDN3;NIPBL	>Q6KC79|NIPBL_HUMAN Nipped-B-like protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.4	0.4	0.4	316.05	2804	1	1	0.082061	0.4	0.4	0	0	0	0	0	0	0	0	0	0	+		
448	956;1156;1157;1649	999;1202;1203;1704	2272;2273;2709;2710;2711;2712;2713;2714;3831;3832	1955;2298;2299;2300;2301;3275		676;677;678		195;432;530	Q6NYC8	Q6NYC8	4	4	4	Phostensin;Protein phosphatase 1 F-actin cytoskeleton-targeting subunit	HKMT1098;KIAA1949	>Q6NYC8|PPR18_HUMAN Phostensin |Homo sapiens	1	4	4	4	4	4	4	4	4	4	10	10	10	67.942	613	5	5	1.8443E-13	10	10	0	0	0	0	0	0	0	0	0	0			
449	174;590;798;815;1191;1507;1538;1584	183;613;831;848;1237;1556;1587;1636;1637	431;432;1390;1391;1887;1888;1921;1922;2793;2794;2795;2796;3523;3524;3597;3598;3699;3700;3701;3702;3703;3704	369;1176;1621;1622;1644;2381;2382;3019;3071;3160;3161;3162	41	679;680;681;682;1457	154	118;127;167;269;300	Q6NZI2	Q6NZI2	8	8	8	Cavin-1;Polymerase I and transcript release factor	FKSG13;PTRF	>Q6NZI2|PTRF_HUMAN Polymerase I and transcript release factor |Homo sapiens	1	8	8	8	8	8	8	8	8	8	24.6	24.6	24.6	43.476	390	11	11	7.2006E-36	24.6	24.6	1979700	661750	1317900	104190	34829	69365	2408700	876060	2	0			
450	797;1360;1361	830;1408;1409	1885;1886;3200;3201;3202;3203	1620;2743;2744;2745		683;684		427;598	Q6NZY4	Q6NZY4	3	3	3	Zinc finger CCHC domain-containing protein 8	ZCCHC8	>Q6NZY4|ZCHC8_HUMAN Zinc finger CCHC domain-containing protein 8 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	4.5	4.5	4.5	78.576	707	3	3	4.56E-11	4.5	4.5	0	0	0	0	0	0	0	0	0	0			
451	190	199	466;467	397		685		1291	Q6P4R8	Q6P4R8	1	1	1	DNA-binding protein R kappa-B;INO80 complex subunit G;Nuclear factor related to kappa-B-binding protein	INO80G;NFRKB	>Q6P4R8|NFRKB_HUMAN Nuclear factor related to kappa-B-binding protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	139	1299	1	1	0.031821	1.1	1.1	0	0	0	0	0	0	0	0	0	0			
452	117;978;1462	124;1021;1511	281;282;2318;3425;3426	218;1984;2942		686;687		466;497	Q6P597	Q6P597	3	3	3	kinesin light chain 2;Kinesin light chain 3;KLC2-like	KLC2;KLC2L;KLC3	>Q6P597|KLC3_HUMAN Kinesin light chain 3 |Homo sapiens	1	3	3	3	2	3	2	3	2	3	5.2	5.2	5.2	55.364	504	2	3	3.6277E-10	5	5.2	0	0	0	0	0	0	0	0	0	0			
453	1006	1049	2386	2041		688		363	Q6P6C2	Q6P6C2	1	1	1	Alkylated DNA repair protein alkB homolog 5;Probable alpha-ketoglutarate-dependent dioxygenase ABH5	ABH5;ALKBH5;OFOXD1	>Q6P6C2|ALKB5_HUMAN Probable alpha-ketoglutarate-dependent dioxygenase ABH5 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.4	2.4	2.4	51.409	458		1	0.022971	0	2.4	0	0	0	0	0	0	0	0	0	0			
454	40	41	93;94	73		689		6	Q6PCB5	Q6PCB5	1	1	1	Round spermatid basic protein 1-like protein	RSBN1L	>Q6PCB5|RSBNL_HUMAN Round spermatid basic protein 1-like protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.2	3.2	3.2	94.868	846	1	1	0.011488	3.2	3.2	0	0	0	0	0	0	0	0	0	0			
455	987;1084	1030;1128	2334;2335;2557;2558	1999;2176;2177		690		461	Q6PJG2	Q6PJG2	2	2	2	Uncharacterized protein C14orf43	C14orf117;C14orf43	>Q6PJG2|CN043_HUMAN Uncharacterized protein C14orf43 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.4	1.4	1.4	114.99	1045	2	2	1.0358E-06	1.4	1.4	0	0	0	0	0	0	0	0	0	0			
456	234;1023;1512	244;1066;1561	574;575;2420;3532;3533	494;495;496;2077;3025		691;692;693;1458;1459		387;389;390;515;665	Q6PJT7	Q6PJT7	3	3	3	Renal carcinoma antigen NY-REN-37;Zinc finger CCCH domain-containing protein 14	ZC3H14	>Q6PJT7|ZC3HE_HUMAN Zinc finger CCCH domain-containing protein 14 |Homo sapiens	1	3	3	3	2	3	2	3	2	3	7.3	7.3	7.3	82.875	736	2	3	2.7285E-10	4.1	7.3	0	0	0	0	0	0	0	0	0	0			
457	1597	1650	3729;3730	3184;3185		694		19	Q6PK04	Q6PK04	1	1	1	Coiled-coil domain-containing protein 137	CCDC137	>Q6PK04|CC137_HUMAN Coiled-coil domain-containing protein 137 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	33.231	289	1	1	0.022936	3.1	3.1	0	0	0	0	0	0	0	0	0	0			
458	329;596;738;1240;1491	346;619;770;1287;1540	775;776;1401;1402;1745;1746;2910;3484;3485	655;1185;1499;2490;2988		695;696;697;1588		90;165;652;774	Q6PKG0	Q6PKG0	5	5	5	La ribonucleoprotein domain family member 1;La-related protein 1	KIAA0731;LARP;LARP1	>Q6PKG0|LARP1_HUMAN La-related protein 1 |Homo sapiens	1	5	5	5	4	5	4	5	4	5	8.9	8.9	8.9	123.51	1096	4	5	2.6444E-25	7.7	8.9	0	0	0	0	0	0	0	0	0	0			
459	319	336	755;756	641		1460		1569	Q6RI45	Q6RI45	1	1	1	Bromodomain and WD repeat-containing protein 3	BRWD3	>Q6RI45|BRWD3_HUMAN Bromodomain and WD repeat-containing protein 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.4	0.4	0.4	203.6	1802	1	1	0.038114	0.4	0.4	0	0	0	0	0	0	0	0	0	0			
460	42;1660	43;1715	97;98;3853;3854	75;76;3296		698		304	Q6UN15	Q6UN15	2	2	2	Factor interacting with PAP;FIP1-like 1 protein;Pre-mRNA 3-end-processing factor FIP1;Rearranged in hypereosinophilia	FIP1;FIP1L1;RHE	>Q6UN15|FIP1_HUMAN Pre-mRNA 3-end-processing factor FIP1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.7	1.7	1.7	66.526	594	2	2	0.00052213	1.7	1.7	0	0	0	0	0	0	0	0	0	0			
461	1107	1153	2608;2609	2217		699		477	Q6UXY1	Q6UXY1	1	1	1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2	BAIAP2L2;UNQ9336/PRO34007	>Q6UXY1|BI2L2_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.8	2.8	2.8	58.986	529	1	1	0.0027692	2.8	2.8	0	0	0	0	0	0	0	0	0	0			
